"id","cod_operacion","medio_pago","suma_prod","cant_prods","valor_compra","pagado","cambio","procesada","created_at","updated_at"
93,"158831",2,1,"[""1""]","$2.500,00","0","0",1,"2022-07-16 18:55:17.0","2022-07-16 18:55:17.0"
94,"37",1,1,"[""1""]","$1.200,00","1.200","$0,00",1,"2022-07-16 18:55:41.0","2022-07-16 18:55:41.0"
95,"38",1,3,"[""1"", ""1"", ""1""]","$5.800,00","5.800","$0,00",1,"2022-07-16 19:19:00.0","2022-07-16 19:19:00.0"
96,"604097",2,3,"[""1"", ""1"", ""1""]","$3.400,00","0","0",1,"2022-07-16 19:30:44.0","2022-07-16 19:30:44.0"
97,"39",1,2,"[""2""]","$1.000,00","10.000","$9.000,00",1,"2022-07-16 19:46:16.0","2022-07-16 19:46:16.0"
98,"719640",2,643,"[""1"", ""640"", ""1"", ""1""]","$4.308,00","0","0",1,"2022-07-16 20:18:19.0","2022-07-16 20:18:19.0"
99,"40",1,7,"[""2"", ""1"", ""1"", ""3""]","$9.799,00","20.000","$10.201,00",1,"2022-07-16 20:55:49.0","2022-07-16 20:55:49.0"
100,"41",1,1,"[""1""]","$1.200,00","10.000","$8.800,00",1,"2022-07-18 14:14:53.0","2022-07-18 14:14:53.0"
101,"819384",2,1,"[""1""]","$1.300,00","0","0",1,"2022-07-18 14:26:18.0","2022-07-18 14:26:18.0"
102,"42",1,1,"[""1""]","$1.300,00","1.300","$0,00",1,"2022-07-18 14:40:51.0","2022-07-18 14:40:51.0"
103,"43",1,1,"[""1""]","$800,00","1.000","$200,00",1,"2022-07-18 14:41:34.0","2022-07-18 14:41:34.0"
104,"44",1,1,"[""1""]","$500,00","2.000","$1.500,00",1,"2022-07-18 15:35:45.0","2022-07-18 15:35:45.0"
105,"004111",2,3,"[""2"", ""1""]","$4.900,00","0","0",1,"2022-07-18 15:46:28.0","2022-07-18 15:46:28.0"
106,"032762",2,1,"[""1""]","$1.600,00","0","0",1,"2022-07-18 16:07:30.0","2022-07-18 16:07:30.0"
107,"45",1,1,"[""1""]","$1.000,00","1.000","$0,00",1,"2022-07-18 16:12:30.0","2022-07-18 16:12:30.0"
108,"46",1,1,"[""1""]","$200,00","200","$0,00",1,"2022-07-18 16:13:50.0","2022-07-18 16:13:50.0"
109,"47",1,2,"[""1"", ""1""]","$1.200,00","1.200","$0,00",1,"2022-07-18 17:19:18.0","2022-07-18 17:19:18.0"
110,"48",1,2,"[""1"", ""1""]","$1.000,00","10.000","$9.000,00",1,"2022-07-18 17:23:01.0","2022-07-18 17:23:01.0"
111,"417561",2,5,"[""3"", ""2""]","$5.200,00","0","0",1,"2022-07-18 18:30:31.0","2022-07-18 18:30:31.0"
112,"347162",2,2,"[""2""]","$2.600,00","0","0",1,"2022-07-18 18:37:00.0","2022-07-18 18:37:00.0"
113,"295696",2,1,"[""1""]","$4.100,00","0","0",1,"2022-07-18 19:21:56.0","2022-07-18 19:21:56.0"
114,"259681",2,1,"[""1""]","$4.900,00","0","0",1,"2022-07-18 19:53:56.0","2022-07-18 19:53:56.0"
115,"445403",2,437,"[""436"", ""1""]","$959,00","0","0",1,"2022-07-18 20:45:08.0","2022-07-18 20:45:08.0"
116,"49",1,2,"[""1"", ""1""]","$2.600,00","3.000","$400,00",1,"2022-07-19 12:42:56.0","2022-07-19 12:42:56.0"
117,"50",1,1,"[""1""]","$1.000,00","1.000","$0,00",1,"2022-07-19 12:43:21.0","2022-07-19 12:43:21.0"
118,"51",1,2,"[""1"", ""1""]","$850,00","900","$50,00",1,"2022-07-19 13:07:13.0","2022-07-19 13:07:13.0"
119,"017290",2,1,"[""1""]","$1.300,00","0","0",1,"2022-07-19 13:25:54.0","2022-07-19 13:25:54.0"
120,"52",1,518,"[""1"", ""1"", ""516""]","$3.935,00","5.000","$1.065,00",1,"2022-07-19 14:11:45.0","2022-07-19 14:11:45.0"
121,"040467",2,3,"[""1"", ""1"", ""1""]","$3.500,00","0","0",1,"2022-07-19 14:12:47.0","2022-07-19 14:12:47.0"
122,"53",1,3,"[""1"", ""2""]","$2.000,00","2.000","$0,00",1,"2022-07-19 17:20:37.0","2022-07-19 17:20:37.0"
123,"54",1,1,"[""1""]","$1.300,00","1.300","$0,00",1,"2022-07-19 17:21:09.0","2022-07-19 17:21:09.0"
124,"55",1,1,"[""1""]","$1.200,00","10.000","$8.800,00",1,"2022-07-19 17:21:32.0","2022-07-19 17:21:32.0"
125,"000038",2,1,"[""1""]","$1.300,00","0","0",1,"2022-07-19 18:04:08.0","2022-07-19 18:04:08.0"
126,"748514",2,1,"[""1""]","$2.500,00","0","0",1,"2022-07-19 18:04:58.0","2022-07-19 18:04:58.0"
127,"56",1,1,"[""1""]","$600,00","1.000","$400,00",1,"2022-07-19 18:22:42.0","2022-07-19 18:22:42.0"
128,"57",1,3,"[""1"", ""2""]","$1.700,00","2.000","$300,00",1,"2022-07-19 18:28:08.0","2022-07-19 18:28:08.0"
129,"437417",2,1,"[""1""]","$1.300,00","0","0",1,"2022-07-19 18:48:00.0","2022-07-19 18:48:00.0"
130,"58",1,1,"[""1""]","$1.300,00","1.300","$1.300,00",1,"2022-07-19 18:48:26.0","2022-07-19 18:48:26.0"
131,"422768",2,1,"[""1""]","$1.500,00","0","0",1,"2022-07-19 18:55:04.0","2022-07-19 18:55:04.0"
132,"59",1,3,"[""3""]","$999,00","1.000","$1,00",1,"2022-07-19 18:59:33.0","2022-07-19 18:59:33.0"
